                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.61897,                0.88649,                0.84218,                0.44304,                0.56679,                0.48024,                0.41927,                0.44275,                 1.6129,                0.67979,               0.006304,               0.006304,               0.006304
                     58,                0.60104,                0.86655,                0.83768,                0.44516,                0.56803,                0.48175,                0.42075,                0.44114,                 1.6199,                0.67905,               0.006238,               0.006238,               0.006238
                     59,                0.61236,                0.86993,                0.84018,                0.44352,                0.56234,                0.48374,                0.42272,                0.44107,                  1.616,                0.67918,               0.006172,               0.006172,               0.006172
                     60,                0.61663,                0.84014,                0.84499,                0.44784,                0.55807,                0.48317,                 0.4221,                0.44182,                 1.6277,                0.67914,               0.006106,               0.006106,               0.006106
                     61,                0.60256,                0.85912,                0.84108,                0.45716,                0.55411,                0.48225,                0.42168,                0.44114,                 1.6369,                0.67883,                0.00604,                0.00604,                0.00604
                     62,                0.61079,                0.84156,                0.84006,                0.46082,                0.55789,                0.48024,                0.41937,                0.44253,                 1.6469,                0.67878,               0.005974,               0.005974,               0.005974
                     63,                0.60346,                0.82516,                0.83917,                0.46625,                0.55383,                0.47943,                0.41854,                0.44185,                 1.6602,                0.67859,               0.005908,               0.005908,               0.005908
                     64,                0.60625,                0.80879,                0.83809,                0.45942,                0.54526,                0.47917,                0.41919,                0.44054,                 1.6647,                0.67819,               0.005842,               0.005842,               0.005842
                     65,                0.60282,                0.82885,                0.83808,                0.46409,                 0.5486,                0.47799,                0.41964,                0.44048,                 1.6751,                0.67876,               0.005776,               0.005776,               0.005776
                     66,                0.60455,                0.81955,                 0.8348,                0.46369,                 0.5484,                0.47803,                0.42029,                0.44177,                 1.6835,                0.67916,                0.00571,                0.00571,                0.00571
                     67,                0.59549,                0.80319,                0.83726,                 0.4584,                0.54735,                0.47616,                0.41831,                0.44259,                 1.6925,                0.67965,               0.005644,               0.005644,               0.005644
