                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.59537,                0.75187,                0.85469,                0.56762,                0.62653,                0.59361,                0.53027,                0.57438,                 1.2074,                0.93552,               0.006172,               0.006172,               0.006172
                     60,                0.58904,                0.73741,                0.84934,                0.58253,                0.59332,                0.58713,                0.52406,                0.57779,                 1.2331,                0.93997,               0.006106,               0.006106,               0.006106
                     61,                0.59317,                0.74863,                0.85536,                0.57305,                0.61588,                0.59595,                0.52876,                0.57896,                 1.2193,                0.94161,                0.00604,                0.00604,                0.00604
                     62,                0.58765,                0.73654,                0.85266,                0.56911,                0.62759,                0.59934,                0.53192,                0.58572,                  1.243,                 0.9424,               0.005974,               0.005974,               0.005974
                     63,                0.58868,                0.72293,                0.85309,                0.55977,                0.61765,                0.59569,                0.52866,                 0.5923,                 1.2479,                0.94097,               0.005908,               0.005908,               0.005908
                     64,                0.58911,                0.73398,                0.84935,                 0.5843,                0.60465,                0.60428,                0.53638,                0.57573,                 1.2283,                0.93552,               0.005842,               0.005842,               0.005842
                     65,                0.58443,                0.72742,                0.84506,                0.56684,                 0.6377,                0.60331,                0.53661,                0.56658,                 1.2482,                0.93308,               0.005776,               0.005776,               0.005776
                     66,                0.58397,                0.71872,                0.84839,                0.56128,                0.62582,                0.60285,                0.53634,                0.56962,                 1.2236,                0.93599,                0.00571,                0.00571,                0.00571
                     67,                0.57384,                0.69241,                0.84846,                0.54916,                0.62736,                0.59954,                0.53388,                0.56646,                 1.2144,                0.93465,               0.005644,               0.005644,               0.005644
                     68,                 0.5764,                0.70763,                0.84661,                 0.5708,                 0.6109,                0.59581,                 0.5304,                0.57253,                 1.2482,                0.93811,               0.005578,               0.005578,               0.005578
                     69,                0.57108,                0.70494,                0.84527,                0.56764,                 0.6075,                0.59419,                0.52919,                0.57292,                 1.2484,                 0.9386,               0.005512,               0.005512,               0.005512
                     70,                0.57758,                0.67856,                0.84491,                0.56948,                0.59449,                 0.5897,                0.52443,                0.56729,                  1.246,                0.93677,               0.005446,               0.005446,               0.005446
                     71,                0.57542,                0.68779,                0.85024,                0.60288,                0.58197,                0.59408,                 0.5293,                 0.5705,                 1.2345,                0.93973,                0.00538,                0.00538,                0.00538
                     72,                0.56687,                0.67764,                0.84381,                0.60879,                0.58314,                0.59682,                0.53238,                0.57286,                 1.2396,                0.94278,               0.005314,               0.005314,               0.005314
                     73,                0.57528,                0.68296,                0.84506,                0.59844,                0.58527,                0.59604,                0.53139,                0.57346,                 1.2527,                0.94123,               0.005248,               0.005248,               0.005248
                     74,                0.55974,                0.65901,                0.83979,                0.60183,                0.57625,                0.59274,                0.52748,                0.56998,                 1.2574,                0.94031,               0.005182,               0.005182,               0.005182
                     75,                0.57017,                0.65752,                0.84488,                 0.6034,                0.57552,                0.59731,                0.53025,                0.57131,                 1.2437,                0.94192,               0.005116,               0.005116,               0.005116
                     76,                0.57253,                0.66981,                0.84507,                 0.6081,                0.58279,                0.59803,                0.53074,                0.57259,                 1.2386,                0.94311,                0.00505,                0.00505,                0.00505
                     77,                0.56348,                0.64225,                0.83763,                0.57187,                 0.6133,                0.59414,                0.52846,                0.57192,                 1.2462,                 0.9452,               0.004984,               0.004984,               0.004984
                     78,                 0.5573,                 0.6377,                0.84027,                0.57774,                0.59512,                0.59097,                0.52452,                0.57316,                 1.2571,                0.94451,               0.004918,               0.004918,               0.004918
                     79,                0.55536,                0.63887,                0.83843,                0.57627,                0.59738,                0.59207,                0.52545,                0.57004,                 1.2684,                0.94086,               0.004852,               0.004852,               0.004852
                     80,                0.55341,                0.62898,                0.84077,                 0.5907,                0.58008,                0.58913,                0.52446,                0.56733,                  1.284,                0.93948,               0.004786,               0.004786,               0.004786
                     81,                0.55485,                  0.623,                0.84401,                0.58187,                0.58482,                   0.59,                0.52603,                0.57172,                  1.291,                0.94328,                0.00472,                0.00472,                0.00472
                     82,                0.55303,                0.63038,                0.84249,                0.58257,                 0.5806,                0.58947,                0.52514,                0.57178,                 1.2969,                 0.9432,               0.004654,               0.004654,               0.004654
                     83,                0.55195,                0.61754,                0.83565,                0.57492,                0.59469,                0.59081,                0.52828,                0.57068,                 1.2978,                0.94253,               0.004588,               0.004588,               0.004588
                     84,                0.54882,                0.60765,                0.83726,                0.57514,                0.59242,                0.59051,                0.52765,                0.57156,                 1.2999,                0.94186,               0.004522,               0.004522,               0.004522
                     85,                0.54921,                0.60614,                 0.8366,                0.56382,                  0.605,                0.58721,                0.52574,                0.56991,                 1.2991,                0.94012,               0.004456,               0.004456,               0.004456
                     86,                0.54294,                0.59285,                0.83543,                0.56162,                0.60637,                0.58764,                0.52576,                 0.5714,                  1.304,                0.94089,                0.00439,                0.00439,                0.00439
                     87,                0.53603,                0.59617,                 0.8352,                0.55317,                0.61089,                0.58586,                0.52446,                0.57201,                  1.306,                0.94272,               0.004324,               0.004324,               0.004324
                     88,                0.54493,                0.60166,                0.83406,                0.55693,                0.59177,                0.58447,                0.52185,                0.57214,                 1.3184,                0.94321,               0.004258,               0.004258,               0.004258
                     89,                0.54576,                0.58494,                0.83055,                0.54442,                0.61062,                0.58378,                0.52171,                0.56917,                 1.3136,                0.94156,               0.004192,               0.004192,               0.004192
                     90,                0.53458,                0.57822,                0.83594,                0.59873,                0.55585,                0.58264,                0.52047,                0.56663,                 1.3199,                0.94003,               0.004126,               0.004126,               0.004126
